   Nr |                      x |               math.tan |              cont_frac |            poly_approx |   err_frac |   err_poly |       t_libr |       t_frac |       t_poly
 5755 |     -0.960885889465874 |     -1.431054189633798 |     -1.431054189632798 |     -1.431147049895943 |   1.00e-12 |   9.29e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5756 |     -0.137027695031646 |     -0.137891823345180 |     -0.137891823344180 |     -0.137891823342324 |   1.00e-12 |   2.86e-12 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5757 |     -0.155914024029152 |     -0.157189811650260 |     -0.157189811649260 |     -0.157189811638412 |   1.00e-12 |   1.18e-11 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5758 |      0.360323935438761 |      0.376772727076320 |      0.376772727077320 |      0.376772602713079 |   1.00e-12 |   1.24e-07 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5759 |      0.122960465317410 |      0.123583927177856 |      0.123583927178856 |      0.123583927176990 |   1.00e-12 |   8.66e-13 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5760 |      0.925778740879368 |      1.329129393897355 |      1.329129393898355 |      1.329280841551031 |   1.00e-12 |   1.51e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5761 |     -0.087140554797237 |     -0.087361793388471 |     -0.087361793387471 |     -0.087361793388451 |   1.00e-12 |   1.96e-14 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5762 |     -1.304400879870908 |     -3.664596453986936 |     -3.664596453985936 |     -3.664596512751233 |   9.99e-13 |   5.88e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5763 |      1.191101288447376 |      2.505894162745242 |      2.505894162746234 |      2.505895560558351 |   9.92e-13 |   1.40e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5764 |     -0.346416578977975 |     -0.360972885583879 |     -0.360972885582878 |     -0.360972805262550 |   1.00e-12 |   8.03e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
 5765 |      0.799527370936717 |      1.028665341189177 |      1.028665341190176 |      1.029375755883628 |   9.99e-13 |   7.10e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
